node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,leisure,tourism,sport,area,ratio
0,28.5491223,-81.3779788,46,,Amelia Street,parking,,,,,,,,
1,28.5485685,-81.3786134,435,,North Orange Avenue,,,,,,,,,
2,28.5482023,-81.37773,425,,North Orange Avenue,courthouse,,,,,,,,
3,28.5478216,-81.3786013,415,,North Orange Avenue,,,,,,,,,
4,28.5528194,-81.3610101,,,,,,,,,,,,
5,28.4687179,-81.4476281,5250,32819,International Drive,retail,,,,,,,6.72E-06,0.71417648
6,28.4855696,-81.4316251,4200,32839,Conroy Road,retail,2,,,,,,5.02E-06,1.081765835
7,28.5160155,-81.4763272,2173,32835,Lake Debra Drive,apartments,3,,,,,,8.68E-08,0.814521927
8,28.5160503,-81.4769982,2207,32835,Lake Debra Drive,,1,,,,,,5.66E-08,0.547221462
9,28.5155633,-81.4764553,2179,32835,Lake Debra Drive,apartments,3,,,,,,9.18E-08,0.67628516
10,28.5150156,-81.4766255,2185,32835,Lake Debra Drive,apartments,3,,,,,,1.00E-07,0.80906822
11,28.5147775,-81.4771146,2191,32835,Lake Debra Drive,apartments,2,,,,,,8.85E-08,2.239410681
12,28.5169172,-81.4776428,2109,32835,Lake Debra Drive,apartments,3,,,,,,1.02E-07,0.679163034
13,28.5163816,-81.4768931,2215,32835,Lake Debra Drive,apartments,3,,,,,,8.21E-08,2.227208314
14,28.5169839,-81.4766079,2161,32835,Lake Debra Drive,apartments,3,,,,,,7.51E-08,0.86785977
15,28.5174134,-81.4767982,2137,32835,Lake Debra Drive,apartments,3,,,,,,1.04E-07,1.940530303
16,28.5169237,-81.4771484,2113,32835,Lake Debra Drive,apartments,3,,,,,,1.05E-07,0.756738695
17,28.5174295,-81.475981,2149,32835,Lake Debra Drive,apartments,3,,,,,,8.29E-08,0.707264445
18,28.5178704,-81.4762975,2143,32835,Lake Debra Drive,apartments,3,,,,,,1.00E-07,1.324247879
19,28.518052,-81.4769185,2131,32835,Lake Debra Drive,apartments,2,,,,,,9.95E-08,2.306661411
